음식점_이름,매출_비율,키워드
국빈대반점,상위_10_25,"맛, 친절, 청결, 빠른 서비스, 넓은 공간, 재료, 볶음밥, 짬뽕, 탕수육, 숨은 맛집"
국수도둑,하위_10,"국수, 친절, 맛집"
국수마씸&고사리마씸,상위_75_90,"고기국수, 해장국, 직원 친절도"
국수먹고가게,상위_50_75,"고기국수, 친절한 사장님, 현지인 맛집"
국수몰고랑,하위_10,"돼지국밥, 순대국밥, 현지인 맛집"
국수몽,상위_75_90,"고기국수, 비빔국수, 친절한 사장님, 국물 깔끔, 양 많음, 가성비 좋음, 제주도 맛집, 석양 뷰, 보말죽, 세트메뉴"
국수사랑,상위_25_50,"고기국수, 제주도민 맛집, 콩국수"
국수와야식,하위_10,"양, 맛집, 비빔국수, 돔베고기, 파김치"
국수와의미팅,하위_10,"비빔국수, 고기국수, 로컬맛집"
국수장터,상위_25_50,"고기국수, 순대국수, 도민맛집"
국수&전,상위_50_75,"친절, 맛, 동네맛집, 고기국수, 전"
국수탐나,상위_50_75,"국수, 김치, 맛집"
국시트멍 제주고기국수,상위_10_25,"고기국수, 진한 육수, 친절한 서비스"
국제부두토산품스낵,상위_25_50,"비싸다, 건강식, 김밥"
군산소문난해물칼국수,상위_10_25,"칼국수, 아구찜, 신선한 해물"
군산야식,하위_10,"아구탕, 손맛, 해장능력"
군족본점,상위_75_90,"바베큐, 친절, 포장"
군족 서귀포점,상위_75_90,"바베큐 족발, 부대찌개, 막국수"
굼부리식당,하위_10,"고사리, 제육볶음, 가성비, 단체 관광객, 친절"
굽네치킨 제주 성산점,하위_10,"치킨, 친절, 뷰, 맛집, 포장"
굽네치킨 제주영어도시점,하위_10,"친절, 굽네치킨, 깔끔, 바삭, 쫄깃"
굽써,상위_25_50,"오겹살, 목살, 계란찜, 친절, 숙성고기, 바닷가 뷰"
궁중삼계탕,하위_10,"삼계탕, 제주 노포, 친절 서비스"
궁중오메기떡,상위_25_50,"부드러운 떡, 친절한 서비스, 접근성 좋은 위치"
권가칼국수,상위_50_75,"닭곰탕, 칼국수, 해물파전, 친절, 국물, 제주, 맛집"
귀동이네,상위_75_90,"맛있고, 특별한, 김치"
규방,상위_75_90,"술집, 닭도리탕, 친절한 사장님"
규영이네가든,상위_50_75,"맛집, 친절, 가성비"
규태네양곱창 남녕점,상위_10_25,"곱창전골, 친절한 사장님, 매장 청결"
규태네양곱창 남녕점,상위_75_90,"곱창전골, 친절한 사장님, 매장 청결"
카페 귤꽃다락,상위_10_25,"감성카페, 귤라떼, 인테리어"
귤당리 협재점,상위_50_75,"귤당리, 오션뷰, 브런치"
귤로,상위_10,"치킨, 커피, 가성비, 친절, 바다뷰, 디저트, 청귤차"
귤밭사이로수제돈가스,상위_75_90,"돈까스, 리필, 가성비"
귤하르방 동문시장점,상위_75_90,"제주흙돼지, 슬러시, 친절, 위생, 동문시장"
귤하르방 구좌점,상위_75_90,"맛있음, 친절, 주스, 빵, 제주도"
소담은해장국그늘집,상위_50_75,"소고기해장국, 청결, 친절, 내장탕, 혼밥, 맛집"
GRAMINEE,하위_10,"뷰, 디저트, 커피, 친절, 바다"
그러므로part2,상위_25_50,"핸드 드립, 디저트, 분위기, 애견동반, 제주도, 커피, 친절, 야외 공간, 추천"
그럼피 베이비,상위_75_90,"팬케이크, 친절, 브런치, 비건, 사장님, 분위기, 맛집"
그륻,하위_10,"사장님, 음식, 분위기, 맛, 재방문"
그릉그릉 파스타가게,하위_10,"파스타, 티라미수, 고양이 소품"
그리그리카페,상위_75_90,"디저트, 분위기, 친절, 커피, 인테리어"
그리너 제주인화점,상위_75_90,"신선함, 쾌적함, 다양성"
그리매,상위_75_90,"갈치조림, 친절한 서비스, 맛있는 반찬"
그리운바다성산포민박,상위_50_75,"편안한 휴식 공간, 위생적이지 않음, 맛집 의문"
그리울땐제주,하위_10,"아몬드크림라떼, 당근케이크, 해안뷰, 커피맛집, 뷰맛집"
그리트커피,상위_75_90,"디저트, 커피, 친절"
그린보이즈 제주노형점,상위_75_90,"샐러드, 신선한 재료, 친절한 서비스"
그린사이공,상위_50_75,"쌀국수, 반미, 친절한 사장님"
그마니네식당,상위_75_90,"갈치조림, 친절한 서비스, 신선한 해산물"
그옛맛,상위_50_75,"전복돌솥밥, 성게미역국, 해물뚝배기, 친절한 서비스, 건강한 식사"
그집글라,상위_50_75,"고등어조림, 친절, 밑반찬"
글라글라하와이,상위_25_50,"하와이안 분위기, 피쉬앤칩스, 친절한 직원"
글램큐,상위_75_90,"고기, 친절, 분위기"
글러트니커피,상위_50_75,"커피, 디저트, 인테리어, 재방문, 친절, 맛집"
금갈치 동문시장점,상위_10,"갈치, 전복, 물회"
금강민물장어,상위_10_25,"장어맛집, 가성비, 밑반찬"
금관,상위_50_75,"오리고기, 오리탕, 반찬"
제주블랑,상위_75_90,"독채, 금능 바다, 난방시설"
둘레길 제주협재금능점,상위_50_75,"혼밥, 오션 뷰, 제주 로컬 푸드"
금능반지하,상위_75_90,"금능반지하, 바다뷰, 수제맥주, 노을, 분위기, 친절한 사장님, 귀여운 동물, 맛있는 음식"
금능이모네,상위_50_75,"보말죽, 전복죽, 친절한 사장님"
금능포구횟집,상위_50_75,"갈치조림, 한치물회, 전복죽, 쥐치조림, 반찬, 현지맛집"
금데기횟집,상위_10,"코스요리, 바다뷰, 친절한 서비스"
금돈상회,상위_10_25,"고기, 친절, 제주산"
금바우흑돼지참숯구이,상위_50_75,"고기, 친절, 맛집, 제주, 흑돼지"
금박돈,상위_75_90,"고기, 친절, 김치찌개"
금백조로가든,상위_25_50,"갈치, 가성비, 친절함, 반찬, 제주도"
금별맥주 서귀포점,상위_10_25,"인테리어, 가성비, 맥주, 안주, 맛집"
금별맥주 제주제원점,상위_10_25,"술, 안주, 시끄러움"
교래리 금보가든 에코랜드점,하위_10,"가게 리뷰 가성비, 제주 향토음식, 신선한 야채, 두루치기, 접짝뼈국, 삼계탕, 맛집, 친절한 서비스"
금보,상위_50_75,"신선한 재료, 고등어구이, 우럭조림"
동문시장고기국수 금복식당,상위_25_50,"고기국수, 김밥, 친절한 서비스"
금복촌,상위_10_25,"예약 필수, 양 푸짐, 친절한 직원"
금빌레식당,하위_10,"한식뷔페, 간장게장, 친절한 서비스"
금수강산 바다장어,하위_10,"장어, 물회, 신선함"
똣똣라면 본점,상위_50_75,"라면, 친절, 해장"
금악정육식당,상위_25_50,"고기, 가격, 친절"
금자매식당,상위_10_25,"고등어구이, 명란, 친절한 서비스"
금촌댁,하위_10,"고기, 친절, 가성비"
금하갈비,상위_50_75,"김치찌개, 고기, 셀프바"
금하순대,하위_10,"맛, 신선한 재료, 감사"
금하식당,상위_75_90,"부대찌개, 가성비, 친절, 맛집, 제주도"
금화덕,상위_50_75,"맛있다, 친절하다, 양 많다, 재방문, 추천, 파스타, 피자, 서비스, 해산물, 스테이크"
기대만족 신제주점,상위_25_50,"서비스, 맛, 양, 친절, 매운맛, 포장, 제주도"
기대만족 제주점,하위_10,"맛있다, 부드럽다, 친절하다, 양 많다, 족발, 보쌈, 서비스, 추천"
기리시마,상위_25_50,"메로지리, 초밥, 밑반찬"
기쁨이네해물탕앤돌솥밥,상위_25_50,"전복, 해물탕, 신선함"
가시어멍김밥 서귀포본점,상위_25_50,"김밥, 국물떡볶이, 돈까스, 비빔만두, 열무국수"
기어서집까지,상위_75_90,"전, 비빔밥, 제주도"
기억나는집,상위_10_25,"해물탕, 가성비, 칼국수, 해산물, 국물"
기운네흑돼지 서귀포올레시장 본점,하위_10,"흑돼지, 친절한 사장님, 반찬 다양성"
기찬밥상,상위_75_90,"족발, 가성비, 친절, 맛집, 국수, 반찬, 제주도"
기회횟집,상위_10_25,"고등어회, 딱새우회, 친절한 서비스"
길림성,상위_25_50,"세트메뉴, 탕수육, 짬뽕"
길벗식당,상위_10_25,"오리고기, 수제비, 친절한 서비스"
길촌횟집,상위_10_25,"자연산, 신선한 회, 친절한 서비스"
김고기,상위_25_50,"김고기, 제주도민 맛집, 항정살"
김녕대성횟집,하위_10,"해물라면, 친절, 가성비, 비린내, 양"
월고집 구좌 월정리 본점,상위_75_90,"흑돼지, 친절한 서비스, 된장찌개"
김대감숯불갈비,상위_50_75,"생갈비, 양념갈비, 가성비"
정통갈치조림명가 김도희의갈치창고,상위_75_90,"갈치구이, 갈치조림, 반찬"
김반장쪽갈비,상위_25_50,"쪽갈비, 반찬, 친절, 맛집, 예약"
김밥꼬순내,상위_75_90,"김밥, 고소함, 단백한 맛, 배달, 꼬마김밥"
김밥노리터 서귀포올레시장점,하위_10,"김밥, 떡볶이, 대왕오징어튀김, 분식, 서귀포"
김밥명가 서귀포점,상위_75_90,"떡볶이, 가성비, 김밥"
김밥상회,하위_10,"김밥, 청결, 가격, 맛, 포장, 재료"
김밥옆구리앤생선구이,상위_75_90,"신선한 생선, 친절한 서비스, 다양한 메뉴"
김밥천국서귀포점,상위_75_90,"비빔밥, 김밥, 친절한 사장님"
김밥천국 광양대학로점,상위_50_75,"가성비, 김밥, 분식"
김밥천국 연동점,상위_10_25,"사장님, 친절, 가성비, 김밥, 맛, 직원"
김밥천국이도점,상위_25_50,"김밥, 불친절, 가성비"
김밥천국 신연동점,상위_10_25,"김밥천국, 양 많음, 친절한 사장님"
김북순큰남비집 연동1호점,하위_10,"고기, 김치찌개, 혼밥, 친절, 깨끗함"
김삿갓보쌈족발,상위_50_75,"보쌈, 굴, 친절, 맛집, 신선함"
김서방재첩해장국,상위_10_25,"제주도, 제육볶음, 재첩해장국, 성게미역국, 가성비, 밑반찬, 해장국, 불친절, 주차, 맛집"
김수미식당,상위_75_90,"가게 리뷰 가성비, 맛집, 반찬, 제주도, 한식뷔페"
김씨네도가니탕,상위_25_50,"설렁탕, 돌솥밥, 갈비탕, 김치, 맛집"
김여사네,상위_25_50,"김여사네, 김밥, 가성비"
김원꼬치점,상위_50_75,"마파두부, 양꼬치, 꿔바로우"
김이박,하위_10,"양념갈비, 항정살, 친절한 직원"
김재훈고사리육개장,상위_10,"고사리육개장, 몸국, 친절한 직원"
김준호의대단한갈비 제주노형점,하위_10,"가성비, 갈비, 친절한 서비스"
김준호의대단한갈비 제주도남점,하위_10,"친절, 양, 맛있어요"
김준호의대단한갈비 제주월랑점,하위_10,"가성비, 간편 조리, 양념갈비"
김준호의대단한갈비 제주첨단점,하위_10,"돼지갈비, 가성비, 된장찌개"
김준호의대단한갈비 제주한림점,하위_10,"돼지갈비, 가성비, 매운냉면, 고기상태, 양념갈비"
김준호의대단한갈비 제주일도점,하위_10,"갈비, 가성비, 친절 서비스"
김해횟집,상위_25_50,"회, 젓갈, 친절, 초밥, 미역국"
김희선제주두루치기,상위_75_90,"두루치기, 찌개, 친절함"
카페깃든,상위_75_90,"아늑한, 바다뷰, 친절한, 비건카레, 제주스러운, 인테리어, 맛있는, 커피, 분위기"
까떼커피,상위_75_90,"뷰, 음료, 재방문"
까망꼬숑 제주,상위_10_25,"친절, 고기 질, 오마카세"
까망도그 김녕,상위_50_75,"문어핫도그, 회오리감자, 친절한서비스"
까망돼지 서귀포점,상위_10_25,"고기, 친절, 반찬, 흑돼지, 서비스, 된장찌개, 제주도, 초벌, 맛집, 가성비"
카페나모나모 베이커리,상위_10,"카페, 베이커리, 뷰, 커피, 친절, 주차, 디저트, 좌석, 분위기, 할인"
깐깐한족발 노형점,상위_25_50,"족발, 직원 친절, 맛있음"
깔루아 제주,하위_10,"파스타, 피자, 신선함, 친절, 재방문"
깡촌흑돼지 함덕본점,상위_10,"흑돼지, 직접 구워주기, 친절한 서비스"
꺼멍도새기,상위_10_25,"갈치조림, 친절, 가격대비"
꺼멍때지국수,상위_10_25,"국수, 깔끔, 맛집"
꼬꼬아찌숯불치킨 서귀점,하위_10,"안주, 친절, 맥주, 숯불 바베큐, 깔끔"
꼬꼬앤쿡,상위_25_50,"치킨, 숯불구이, 친절, 양, 맛, 포장"
꼬닥꼬닥걸으멍,하위_10,"김밥, 해물파전, 청보리 아이스크림"
꼬스뗀뇨,상위_25_50,"뷰, 커피, 디저트"
꼴통집 본점,상위_75_90,"반찬, 고기, 친절"
꼼닭,상위_50_75,"맛집, 친절, 고기, 가성비, 제주도, 반찬, 웨이팅, 예약, 막창, 김치"
꽁순이네,상위_25_50,"고기국수, 몸국, 육수"
꽁양꽁양,상위_75_90,"치즈돈까스, 간장새우덮밥, 김치나베우동"
꽁지식당,하위_10,"김치찌개, 돈가스, 친절한 서비스, 가성비, 현지인 맛집"
꽃가마,상위_50_75,"갈비탕, 밑반찬, 맛집"
꽃돼지연탄구이,상위_25_50,"주차 공간, 고기, 김치찌개, 흑돼지, 서비스, 야외, 초벌구이, 친절, 가격, 맛집"
꽃마름 제주이도점,상위_25_50,"샤브샤브, 신선한 야채, 친절한 직원"
꽃밥,상위_50_75,"집밥, 가성비, 건강한 맛, 반찬, 친절함, 웨이팅, 아기자기, 정갈함, 디저트, 고등어 조림"
블라썸꽃이피다 서귀포점,상위_50_75,"블라썸꽃이피다, 브런치맛집, 한라산뷰"
꽃잎대패 제주아라일동점,상위_50_75,"대패삼겹살, 무한리필, 친절한 서비스, 청결, 다양한 야채"
꽈페제주협재점,상위_50_75,"꽈배기, 친절한 사장님, 제주 감성"
꾸브라꼬숯불치킨 제주시청점,하위_10,"치킨, 숯불양념구이, 우동사리, 배달, 맛있다"
꾼2,하위_10,"단어1: 맛, 단어2: 서비스, 단어3: 분위기 리뷰 내용: 좋아요 추천합니다"
꿀꿀이와꽃게,상위_50_75,"동태탕, 푸짐한, 친절한 서비스"
꿀돼지,상위_50_75,"친절, 가성비, 맛있어요, 고기, 청결"
꿀돼지세상,상위_75_90,"된장찌개, 친절, 가성비"
꿀봉 제주한림본점,상위_75_90,"돼지튀김, 꿀봉, 친절한 서비스"
꿀봉 동문시장점,하위_10,"꿀봉, 동문시장, 제주도"
꿈낭밥집,상위_75_90,"보리굴비, 청국장, 친절한 서비스"
꿈낭밥집,상위_10_25,"보리굴비, 청국장, 친절한 서비스"
꿈에본꽃돼지,상위_50_75,"흑돼지, 친절, 맛있어요"
꿈의요리애월,상위_10_25,"맛집, 친절, 깔끔"
오키니,하위_10,"초밥, 디저트, 신선도, 친절, 감성"
나고야일식,상위_25_50,"신선한 회, 친절한 서비스, 푸짐한 양"
나눔김밥,상위_25_50,"김밥, 제육김밥, 가성비, 친절, 포장"
나니와,상위_10_25,"보말칼국수, 아강발, 제육쌈밥정식, 닭도리탕, 고등어조림, 24시간 영업, 친절한 서비스, 반찬, 중국인 직원, 청결 문제"
나드리빵집,상위_50_75,"빵, 친절, 가성비"
나라국밥본점,상위_75_90,"진한 국물, 친절한 서비스, 야외 테라스"
김녕나루터,상위_75_90,"친절, 맛집, 고기"
나목도식당,상위_50_75,"두루치기, 가성비, 순대국"
나무식탁,상위_50_75,"고등어온소바, 제주맛집, 웨이팅"
나우커피 제주광양점,하위_10,"무인카페, 깔끔, 음료맛"
나우커피 제주노형점,하위_10,"커피, 친절, 깔끔, 아이스초코, 24시"
나우커피 제주도남점,하위_10,"커피, 핫초코, 친절"
나우커피 제주삼도점,하위_10,"무인카페, 커피맛, 매장청결"
나이체,상위_50_75,"커피, 친절, 디저트"
나홀로횟집,상위_50_75,"신선한 회, 친절한 서비스, 가성비 좋은 가격"
낙낭회센터,하위_10,"한치회, 가성비, 친절, 맛집, 숙성회, 포장, 싱싱함, 매운탕"
낙동생오리 제주직영점,상위_75_90,"오리, 수제비, 비빔밥, 가성비, 친절함"
낙원돈대패,하위_10,"양, 맛, 친절, 가성비, 반찬, 분위기, 신선, 깔끔, 텃밭, 대패삼겹"
낙지친구,상위_50_75,"낙지볶음, 청국장, 친절한 서비스"
난드르깡통구이,하위_10,"고기, 친절, 맛집"
난드르바당,상위_10_25,"뷰, 고기, 친절, 분위기, 고양이, 추천, 제주, 맛집"
난드르포구,상위_75_90,"회, 우럭튀김, 객주리 조림, 신선한 재료, 제주도 맛집"
난드르흑돼지,상위_75_90,"고기, 사장님, 서비스"
남가네설악추어탕 도남점,상위_50_75,"추어탕, 돌솥밥, 순대"
남가네설악추어탕 도련점,상위_75_90,"벌레, 사과, 불쾌, 친절하지못해요, 추어탕"
남가네설악추어탕 아라점,상위_75_90,"뼈해장국, 불친절, 추어탕, 추어튀김, 솥밥"
남경미락,상위_10,"다금바리, 제주도, 횟집"
남다른대구막창 연동점,상위_50_75,"막창, 반찬, 친절"
남도밥상,상위_50_75,"갈치조림, 친절한 서비스, 합리적인 가격"
남문숯불바베큐&치킨 도두점,하위_10,"치킨, 친절, 바삭함"
남문숯불바베큐앤치킨노형점,상위_25_50,"숯불바베큐, 후라이드치킨, 친절한 서비스, 신선한 재료, 매장 분위기"
남문숯불바베큐앤치킨 신촌점,하위_10,"친절, 맛있음, 소금구이, 바베큐, 포장 할인"
남문숯불바베큐앤치킨 정실점,상위_50_75,"맛있어요, 양념구이, 친절, 바베큐, 양"
남문숯불바베큐&치킨 한림점,상위_75_90,"후라이드, 숯불바베큐, 친절한 서비스, 제주산닭, 닭다리살"
남문숯불바베큐엔치킨 도남점,하위_10,"치킨, 양념, 서비스"
남문숯불바베큐치킨 대정점,상위_75_90,"치킨, 친절, 주차, 메뉴, 맛"
남성로치킨하우스,하위_10,"후라이드치킨, 닭도리탕, 맥주"
남순이네국수,상위_50_75,"보말죽, 보말칼국수, 바다뷰, 맛집, 친절, 세트메뉴, 제주도"
남양통닭 인화점,상위_50_75,"치킨, 닭똥집, 생맥주"
남원가,상위_25_50,"고기, 육개장, 족발, 반찬, 제주도"
남원골감나무집,하위_10,"돼지갈비, 계란찜, 가성비, 고기 퀄리티, 반찬"
남원바당,상위_10_25,"돔베고기, 멜조림, 항정국, 제주도, 도민맛집, 가성비, 친절, 술안주, 손맛, 추천"
남정네들포장마차,상위_50_75,"고등어회, 신선한 해산물, 가성비"
사우스바운더,상위_10_25,"피자, 맥주, 분위기, 버블 비어, 치킨, 음악, 추천"
남호식당,상위_10_25,"가게 리뷰 할인, 파무침, 가성비, 삼겹살, 분위기, 친절, 소주, 불편"
표선 낭구지횟집,상위_50_75,"신선한 회, 친절한 서비스, 푸짐한 코스"
낭만오름,하위_10,"들깨순두부, 연잎밥, 고등어구이, 밑반찬, 맛집"
낭뿌리식당,상위_75_90,"멜조림, 동태탕, 제육정식, 갈치조림, 신선한 재료, 친절한 서비스"
낭쿰낭쿰 산방산점,상위_25_50,"전골, 해산물, 친절한 사장님"
낭푼이닭한마리,상위_75_90,"닭볶음탕, 가성비, 맛있어요, 국물, 제주도"
낮에정식 밤에갈비,상위_50_75,"냉국, 손맛, 가성비, 반찬, 제육볶음"
내고향해장국노형점,상위_25_50,"해장국, 제주, 맛있어요"
내도음악상가,상위_25_50,"분위기, 음악, 노을"
내돈니돈 흑돼지 서귀포점,상위_50_75,"흑돼지, 친절한 사장님, 밑반찬"
제주내리막 외도점,상위_10_25,"곱창전골, 반찬, 친절한 서비스"
냉동고 신제주본점,상위_10_25,"얇은 삼겹살, 볶음밥, 친절한 서비스"
아방갈비,상위_25_50,"소고기, 친절, 가성비, 된장찌개, 매장 청결"
너와의첫여행 감귤체험카페&레스토랑,상위_10_25,"감귤창고카페, 야외 테이블, 감성 인테리어"
넉둥베기고사리육개장,상위_10_25,"고사리 육개장, 접짝뼈국, 산적구이"
넘은 봄,상위_25_50,"한식, 제주도, 청굴물뷰"
넝쿨하눌가든,상위_10,"오리탕, 제주도민, 맛집"
네거리식당,상위_10,"갈치조림, 갈치국, 해장국"
네거리올레 올레시장점,상위_10_25,"흑돼지, 롤카츠, 바삭함, 양 많음, 제주도 맛"
네네치킨 조천함덕점,상위_50_75,"치킨, 친절, 포장"
네오치킨 중문점,상위_75_90,"치킨, 맛있다, 친절, 제주여행, 하나로마트"
노가리앤비어 테마파크,상위_10_25,"핫플레이스, 가성비, 프라이빗"
노가리앤비어 제주시청점,상위_50_75,"떡볶이, 친절, 기본안주"
노다지해장국,상위_75_90,"해장국, 겉절이, 무김치, 한우소머리해장국, 소주"
노도 고등어회,상위_10,"고등어회, 딱새우, 오션뷰, 친절한 직원, 푸짐한 밑반찬"
노라바,상위_10_25,"문어라면, 해물라면, 웨이팅"
노랑통닭 제주 연동점,상위_25_50,"치킨, 친절, 바삭, 양념, 가성비"
노랑통닭 제주 동홍점,상위_50_75,"치킨, 바삭함, 친절한 서비스"
노랑통닭 제주 삼화점,상위_75_90,"치킨, 생맥주, 가성비, 배달, 순살, 위생"
노랑통닭 제주시청점,상위_75_90,"친절, 바삭, 맛있어요, 후라이드, 배달"
노랑통닭 제주 외도점,하위_10,"픽업, 바삭바삭, 친절, 순살, 마늘소스"
노랑해바라기김밥,상위_25_50,"김밥, 어묵, 매운맛"
노러브노라이프,상위_75_90,"위스키, 아늑한 분위기, 친절한 사장님"
노마스,상위_25_50,"뇨끼, 샐러드, 커피, 재방문, 친절, 맛있음, 분위기, 고퀄리티, 감자스프"
노모어블루스,상위_25_50,"스테이크, 뇨끼, 친절한 서비스, 라자냐, 바질페스토, 디저트, 신선한 재료, 분위기, 가성비, 추천"
노바운더리 제주,상위_50_75,"라자냐, 전복리조또, 브런치"
노바운더리 제주,상위_25_50,"라자냐, 전복리조또, 브런치"
노을해안1014,상위_50_75,"친절, 바이크, 제주도, 해안도로, 즐거움"
노포갈비,상위_10_25,"돼지생갈비, 양념게장, 신선한 고기"
노형둘레국수,상위_50_75,"콩국수, 김치, 국밥, 친절, 맛있어요"
몬난이네장어구이,상위_50_75,"친절, 신선, 맛있음"
노형삼다오리,상위_75_90,"맛, 가성비, 셀프, 한가한 시간, 오리고기"
노형삼조삼계탕,상위_75_90,"삼계탕, 비위생적, 불친절"
노형순창갈비,상위_50_75,"안창살, 곱창전골, 가격 부담"
노형엔횟집,상위_25_50,"가게 가성비, 신선한 회, 스끼다시"
노형한빛식당,상위_75_90,"창도름국밥, 순대국밥, 맛집"
노형 호수 아구찜,상위_50_75,"아구찜, 양, 맛있어요"
녹두네,상위_50_75,"상술, 막걸리, 친절, 맛집, 가격"
녹색집,상위_10_25,"고기, 소갈비살주물럭, 친절한 사장님"
녹차골정식,상위_75_90,"맛집, 가성비, 친절, 신선, 재방문"
논지물횟집,상위_75_90,"갈치조림, 친절, 맛집"
놀이터정육식당,상위_25_50,"대패 오겹살, 김치, 혼밥"
놈놈놈막창 표선점,상위_75_90,"막창, 맛있어요, 친절"
놈삐뼈국,하위_10,"놈삐뼈국, 몸국, 숙주제육"
농부밥상,하위_10,"친절, 맛집, 건강식"
농부와꽃돼지,상위_75_90,"맛, 친절, 반찬, 건강한, 야채"
백록횟집 성산본점,상위_50_75,"신선한 회, 고등어회, 친절한 서비스"
누구나홀딱반한닭 제주동홍점,상위_25_50,"맛있어요, 친절, 양 많음"
누룩대통령,하위_10,"푸짐, 맛있어요, 친절, 육회탕탕, 소주, 막걸리"
누바비치,상위_10_25,"수영장, 바다뷰, 감귤피자, 친절한 직원, 힙한 분위기, 아이 동반 가능, 제주도, 브런치, 이국적인 느낌, 음료 가격"
누이밥집,상위_25_50,"전복세트, 친절한 사장님, 제주 향토음식"
nookaewol,상위_50_75,"카페, 바다뷰, 친절한 서비스, 음료, 인테리어, 힐링, 제주, 시그니처 메뉴, 애월, 분위기"
느루온,상위_10_25,"고등어, 아보카도명란, 숙성회, 봉초밥, 분위기"
느영나영혼듸모영갈비탕,상위_50_75,"갈비탕, 친절, 국물"
늘봄흑돼지,상위_10,"고기, 친절, 주차, 흑돼지, 가성비, 밑반찬, 매장, 서비스, 여행, 맛집"
늘소담,상위_10_25,"신선한 재료, 친절한 사장님, 맛있는 음식"
